pl_name,pl_rade,pl_eqt,pl_insol,st_teff,st_rad,sy_dist
WASP-96 b,13.45,1285.0,,5540.0,1.05,352.464
HAT-P-1 b,14.784671,1322.0,,5980.0,1.174,158.979
GJ 3470 b,4.57,593.5,,3600.0,0.547,29.4214
HR 8799 e,13.11453,1150.0,,7400.0,,41.2441
WASP-39 b,14.336311,1166.0,,5485.0,0.939,213.982
NGTS-10 b,13.506845,1332.0,,4600.0,0.697,
WASP-19 b,15.86070769,2113.0,3320.0,5616.0,1.006,268.325
K2-25 b,3.44,494.0,9.91,3207.0,0.2932,44.9565
HD 3167 b,1.67,1774.0,1650.0,5261.0,0.88,47.2899
TOI-4201 b,13.67495645,725.0,45.2,3794.0,0.63,189.011
K2-222 b,2.35,871.0,96.0,5942.0,1.115,101.321
KOI-1257 b,10.54,511.0,,5520.0,1.13,
WASP-133 b,13.56289,1790.0,,5700.0,1.44,559.084
HD 21520 b,2.697,637.0,,5871.0,1.044,79.208
TOI-1836 b,8.00321222,966.0,,6380.0,1.577,191.649
K2-3 b,2.078,501.3,10.5,3844.0,0.546,44.0727
K2-240 b,2.0,586.0,,3810.0,0.54,72.9105
HAT-P-18 b,11.153,852.0,,4803.0,0.749,161.4
TOI-1470 c,2.47,373.0,3.35,3709.0,0.469,51.9503
WASP-164 b,12.643752,1610.0,,5806.0,0.932,327.506
WASP-160 B b,12.21781,1119.0,,5298.0,0.868,288.326
Kepler-109 c,2.65,859.0,91.0,5950.0,1.387,474.861
TOI-1789 b,16.14093221,1927.0,2300.0,5991.0,2.168,229.067
TOI-2420 b,15.02003414,1571.6,1017.0,,2.369,435.174
TOI-1117 b,2.46,1538.0,928.0,5635.0,1.05,167.598
CoRoT-23 b,11.77,1660.0,,5900.0,1.61,1060.97
K2-104 b,1.79,798.0,,3712.0,0.48,189.289
HATS-31 b,18.38276,1823.0,,6050.0,1.87,773.974
Kepler-391 b,2.5,930.0,690.0,5038.0,2.879,869.236
TOI-2096 b,1.243,445.0,9.4,3300.0,0.235,48.4809
K2-275 c,2.21,653.0,,4841.0,0.69,123.438
WASP-165 b,14.12334,1624.0,,5599.0,1.75,602.236
HD 97658 b,2.12,751.0,,5212.0,0.728,21.5618
Kepler-6 b,14.616536,1460.0,,5647.0,1.391,587.039
KOI-94 e,6.56,584.0,,6182.0,1.52,477.052
KOI-3503 c,1.21,686.0,,6001.0,1.255,887.064
TOI-3135 b,13.65253849,1292.0,464.0,5890.0,0.985,221.673
HR 858 d,2.001,1061.0,,6354.0,1.258,31.964
Kepler-1859 c,1.66,1327.0,732.82,5887.0,1.235,1331.25
CoRoT-32 b,6.38913,938.0,132.26,5970.0,0.79,576.683
TOI-481 b,11.09691,1370.0,,5735.0,1.66,179.366
MASCARA-1 b,17.90074218,2594.3,,7490.0,2.082,182.273
Kepler-1987 b,1.23,997.0,233.38,4769.0,0.714,595.683
Kepler-42 d,0.57,450.0,,3068.0,0.17,40.0595
WASP-20 b,16.388,1379.0,,5940.0,1.392,211.877
Kepler-323 c,1.57,1431.0,700.0,6004.0,1.12,454.883
WASP-2 b,12.116929,1311.0,492.0,5180.0,0.866,153.242
K2-350 b,1.54,1158.0,,5789.0,1.04,489.368
HATS-26 b,19.61575,1918.0,,6071.0,2.04,861.843
TOI-4010 d,6.18,650.0,30.0,4960.0,0.83,177.504
WASP-153 b,17.37395,1700.0,1400.0,5914.0,1.73,610.176
TOI-3593 b,11.02963701,1170.0,308.0,5550.0,0.918,226.63
TOI-532 b,5.82,867.0,94.1,3927.0,0.612,135.047
TOI-1898 b,9.39553231,674.54,,6241.0,1.6131,79.6682
TOI-2443 b,2.363,519.0,,4375.0,0.631,23.9258
K2-198 c,1.423,1229.9,,5212.9,0.757,110.567
HATS-77 b,13.05846252,828.3,78.37,4071.0,0.6428,436.176
Qatar-4 b,12.722215,1385.0,614.0,5215.0,0.849,329.036
TOI-561 c,2.865,802.0,67.5,,0.843,85.799
K2-266 c,0.705,664.5,32.4,4285.0,0.703,77.5586
TOI-2031 A b,14.20177855,1358.0,567.0,6490.0,1.241,276.105
Kepler-452 b,1.63,265.0,1.1,5757.0,1.11,551.727
TOI-1064 b,2.587,784.0,62.9,4734.0,0.726,68.0726
HATS-47 b,12.520453,852.9,87.73,4512.0,0.6564,300.67
Kepler-1998 b,0.6,1187.0,468.31,5640.0,0.921,340.965
TOI-1266 b,2.52,415.0,,3563.0,0.4232,36.0118
K2-12 b,2.44,1026.0,185.0,5672.0,1.117,326.381
EPIC 249893012 b,1.95,1616.0,1037.0,5430.0,1.71,321.296
HATS-51 b,15.80469,1553.0,,5758.0,1.44,389.57
WASP-145 A b,10.0881,1200.0,,4900.0,0.68,91.299
NGTS-25 b,11.46678726,1101.0,,5321.0,0.86,521.233
Kepler-51 b,7.1,543.0,,6018.0,0.94,783.831
TOI-238 c,2.18,696.0,58.3,5059.0,0.733,80.5407
TOI-406.01,2.08,368.0,3.0,3392.0,0.41,31.0597
TOI-406 c,1.32,584.0,19.0,3392.0,0.41,31.0597
TOI-2537 b,11.25381662,338.0,,4870.0,0.771,184.986
TOI-238 b,1.559,1378.0,753.1,5059.0,0.756,80.5407
TOI-1685 b,1.421,1000.0,213.0,3470.0,0.462,37.6153
WASP-193 b,14.78464554,1250.0,402.0,6080.0,1.213,362.087
WASP-121 b,19.52604438,2409.0,,6628.0,1.461,269.898
HATS-13 b,13.585308,1244.0,,5523.0,0.887,421.855
